login;password
CondaAnna@sio.jjr.fr;CAnna
GrammeAnna@sio.jjr.fr;GAnna
ShowArty@sio.jjr.fr;SArty
BoréalAurore@sio.jjr.fr;BAurore
SonjoliAxelle@sio.jjr.fr;SAxelle
OhazarBalthazar@sio.jjr.fr;OBalthazar
de KochBasile@sio.jjr.fr;dBasile
PacherBonaparte@sio.jjr.fr;PBonaparte
GlaceBrice@sio.jjr.fr;GBrice
NulpartCarmen@sio.jjr.fr;NCarmen
TrophobClaus@sio.jjr.fr;TClaus
MoletteCléa@sio.jjr.fr;MCléa
SilCody@sio.jjr.fr;SCody
RondiDeborah@sio.jjr.fr;RDeborah
ÉpiFany@sio.jjr.fr;ÉFany
PassyFlore@sio.jjr.fr;PFlore
CitonGarry@sio.jjr.fr;CGarry
MerGérard@sio.jjr.fr;MGérard
MonlatinGilbert@sio.jjr.fr;MGilbert
de MichelinGuy@sio.jjr.fr;dGuy
NessGuy@sio.jjr.fr;NGuy
DehunHélène@sio.jjr.fr;DHélène
SaravIgor@sio.jjr.fr;SIgor
LepoissonIvanhoé@sio.jjr.fr;LIvanhoé
TretouJean-Régis@sio.jjr.fr;TJean-Régis
CalvaJustin@sio.jjr.fr;CJustin
PageMarc@sio.jjr.fr;PMarc
TimMarie@sio.jjr.fr;TMarie
CambronneMaude@sio.jjr.fr;CMaude
EnrouteMélodie@sio.jjr.fr;EMélodie
ArchiSue@sio.jjr.fr;ASue
IncoufinPat@sio.jjr.fr;IPat
